Item Number,Book Title,Used Price,New Price,Review Count,Publisher,Item Weight,Sales Rank,Book Rank,Genre,Timestamp

0778323625,Country Brides: A Little Bit Country,$0.99,$4.99,51,"MIRA; Reprint edition (June 19, 2007)",4,"1,930,661",52402,,"Romance, Contemporary, Literature & Fiction",2017-12-13 12:00:32
0972553703,Dr. Nicholas Romanov's Pose Method of Running,$1.99,$34.00,74,"Pose Tech Corp; First Edition edition (December 16, 2002)",1,"2,182,691",2965,,"Individual Sports, Exercise & Fitness, Health, Fitness & Dieting, Sports & Outdoors, Running & Jogging",2017-12-13 12:00:49
1606529862,No More Brain Drain: Proven Ways to Maintain Your Mind and Memories,$0.25,$2.50,3,The Reader's Digest Association; First Edition edition (2009),2,"1,867,858",,,,2017-12-13 12:01:00
0312368070,Quicksand: An Eve Duncan Forensics Thriller,$0.25,$2.00,117,379 pages,7,"323,277",1616,,"Mystery, Kidnapping, Thrillers & Suspense, Crime, Suspense, Women Sleuths, Mystery, Thriller & Suspense",2017-12-13 12:01:12
0743212541,Faith And The Good Thing,$4.95,$77.22,4,"Scribner; Annotated edition edition (January 10, 2001)",9,"2,208,110",59492,,"Literary, Contemporary, Literature & Fiction",2017-12-13 12:01:21
0060722223,"Bootcamp360 for Brides: The Few, the Proud, the Fit",$2.50,$2.88,9,"William Morrow Paperbacks (December 28, 2004)",14,"4,552,052",2402,,"Crafts, Hobbies & Home, Health, Fitness & Dieting, Weddings, General, Women's Health, Beauty, Grooming, & Style",2017-12-13 12:01:28
0312254725,The Women's Complete Wellness Book,$2.50,$5.45,4,"Golden Guides from St. Martin's Press; 1st edition (March 16, 2000)",2,"9,934,197",5169,,"Health, Fitness & Dieting, Women's Health, Reference, General",2017-12-13 12:01:37
0553096060,Sein Language,$0.10,$3.57,152,"Bantam (September 1, 1993)",14,"148,701",682,,"Humor, Essays & Correspondence, United States, Humor & Entertainment, Essays, Literature & Fiction",2017-12-13 12:01:46
0373297130,How to Sin Successfully,$1.32,$65.24,5,"Harlequin (October 16, 2012)",4,"4,121,234",21159,,"Romance, Regency, United States, Historical, Literature & Fiction",2017-12-13 12:01:53
0446679593,Suzanne's Diary for Nicholas,$0.10,$2.99,1,"Grand Central Publishing; Grand Central Pub ed. edition (April 1, 2002)",10,"53,473",903,,"Contemporary Women, Thrillers & Suspense, Psychological Thrillers, Contemporary, Mystery, Thriller & Suspense, Women's Fiction, Literature & Fiction",2017-12-13 12:01:59
0451200144,Sun Hawk,$0.92,$25.46,9,"Signet (May 1, 2000)",5,"861,239",24792,,"Romance, Historical",2017-12-13 12:02:05
051513631X,Christmas Revels,$11.98,$11.99,44,"Jove; Reissue edition (October 25, 2005)",8,"1,552,591",11300,,"Romance, Anthologies, Historical",2017-12-13 12:02:11
1591451132,The Yellow Rose (Lone Star Legacy #2),$1.95,$3.59,15,"Thomas Nelson (June 9, 2004)",1,"843,771",771,,"Historical, Mothers & Children, Literature & Fiction, Genre Fiction, Religious & Inspirational, Christian Books & Bibles, Women's Fiction",2017-12-13 12:02:23
1576739252,"The Healer (O'Malley Series, Book 5)",$1.00,$4.00,191,375 pages,9,"2,439,585",4459,,"Contemporary, Romance, Genre Fiction, Religious & Inspirational, Christian Books & Bibles, Literature & Fiction",2017-12-13 12:02:31
0802140246,In the Deep Heart's Core,$2.16,$22.00,28,"Grove Press; Reprint edition (August 6, 2003)",12,"684,153",211,,"Special Education, Politics & Social Sciences, Poverty, Reform & Policy, Education Theory, Schools & Teaching, Education & Teaching, Social Sciences, Behavioral Disorders",2017-12-13 12:02:40
B005KNS40K,"Religion and Politics in America: Faith, Culture, and Strategic Choices",,,5,Westview Pr (1998),,"16,117,233",2315,,"Politics & Social Sciences, Politics & Government, Cultural Policy, Public Affairs & Policy, Civil Rights & Liberties, Specific Topics",2017-12-13 12:02:45
B0084QS28O,The Doomsday Key,$0.99,$2.86,,"HarperCollins (January 1, 2009)",1,"887,482",,,,2017-12-13 12:02:53
0446577081,Inside the Kingdom: My Life in Saudi Arabia,$0.10,$4.10,219,"Grand Central Publishing; First Edition edition (July 14, 2004)",1,"1,253,629",138,,"Biographies & Memoirs, Saudi Arabia, Middle East, Historical, World, Women in History, History",2017-12-13 12:03:06
0061121401,"Grow Your Money!: 101 Easy Tips to Plan, Save, and Invest",$0.25,$7.59,11,"HarperBusiness (December 4, 2007)",1,"1,704,769",1482,,"Investing, Introduction, Personal Finance, Budgeting & Money Management, Business & Money, Retirement Planning",2017-12-13 12:03:12
0060817585,Empress: A Novel,$0.10,$9.18,49,"Harper; 1st Us Edition edition (May 2, 2006)",1,"1,888,912",469,,"Chinese, World Literature, French, Literary, Asian, Literature & Fiction, European",2017-12-13 12:03:22
0375503994,Shrub: The Short but Happy Political Life of George W. Bush,$0.34,$2.98,141,"Random House; 1st edition (February 15, 2000)",13,"925,671",4831,,"United States, Biographies & Memoirs, Politics & Social Sciences, Politics & Government, Political, Historical, Leaders & Notable People, Political Science",2017-12-13 12:03:33
0787902691,The Leadership Challenge: How to Keep Getting Extraordinary Things Done in Organizations,$1.29,$2.50,54,405 pages,1,"1,253,124",4933,,"Motivational, Entrepreneurship, Leadership, Business & Money, Management & Leadership, Small Business & Entrepreneurship",2017-12-13 12:03:39
